Method,Name,Error,Occurrences
GET,//deleteplayerurl,"OSError(49, ""Can't assign requested address"")",605
GET,//updateplayerurl,"ConnectionResetError(54, 'Connection reset by peer')",559
GET,//addplayerurl,"OSError(49, ""Can't assign requested address"")",557
GET,//deleteplayerurl,"ConnectionResetError(54, 'Connection reset by peer')",575
GET,//,"ConnectionResetError(54, 'Connection reset by peer')",507
GET,//,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1006
GET,//searchplayerurl,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1059
GET,//addplayerurl,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1049
GET,//playersreporturl,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1057
GET,//addplayerurl,"ConnectionResetError(54, 'Connection reset by peer')",578
GET,//updateplayerurl,"OSError(49, ""Can't assign requested address"")",599
GET,//deleteplayerurl,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",985
GET,//searchplayerurl,"OSError(49, ""Can't assign requested address"")",572
GET,//playersreporturl,"OSError(49, ""Can't assign requested address"")",569
GET,//searchplayerurl,"ConnectionResetError(54, 'Connection reset by peer')",565
GET,//playersreporturl,"ConnectionResetError(54, 'Connection reset by peer')",538
GET,//,"OSError(49, ""Can't assign requested address"")",571
GET,//updateplayerurl,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1042
